Days,Weight (g),Total Weight Gain (g),Hedgehog
1,345,  -,Hedgehog 1
4,354,	9,Hedgehog 1
7,373,	28,Hedgehog 1
10,383,	38,Hedgehog 1
13,403,	58,Hedgehog 1
16,410,	65,Hedgehog 1
19,421,	76,Hedgehog 1
22,424,	79,Hedgehog 1
25,432,	87,Hedgehog 1
28,436,	91,Hedgehog 1
31,445,	100,Hedgehog 1
34,445,	100,Hedgehog 1
37,459,	114,Hedgehog 1
40,478,	133,Hedgehog 1
43,491,	146,Hedgehog 1
46,505,	160,Hedgehog 1
1,350,-,Avg. Hedgehog
3,365,15,Avg. Hedgehog
6,380,30,Avg. Hedgehog
9,405,55,Avg. Hedgehog
12,418,68,Avg. Hedgehog
15,421,71,Avg. Hedgehog
18,425,75,Avg. Hedgehog
21,446,96,Avg. Hedgehog
24,459,109,Avg. Hedgehog
27,462,112,Avg. Hedgehog
30,471,121,Avg. Hedgehog
33,483,133,Avg. Hedgehog
36,489,139,Avg. Hedgehog
39,491,491,Avg. Hedgehog
42,495,145,Avg. Hedgehog
45,497,147,Avg. Hedgehog
48,500,150,Avg. Hedgehog
